vehicle,node,zip,city,country,order,time(h),distance(km),demand,type,load,capacity %,petrol(L),petrol cost(EUR)
0,0,08258,Vogtlandkreis,Germany,0,0.0,0.0,0.0,depot,0.0,0.0,0.0,0.0
0,71,08258,Markneukirchen,Germany,1,0.0,0.0,1.0,pick-up,1.0,10.5,0.0,0.0
0,35,08258,Markneukirchen,Germany,2,0.0,0.0,0.25,pick-up,1.2,13.2,0.0,0.0
0,37,08258,Markneukirchen,Germany,3,0.0,0.0,1.0,pick-up,2.2,23.7,0.0,0.0
0,69,08258,Markneukirchen,Germany,4,0.0,0.0,1.0,pick-up,3.2,34.2,0.0,0.0
0,75,08258,Markneukirchen,Germany,5,0.0,0.0,0.75,pick-up,4.0,42.1,0.0,0.0
0,73,08258,Markneukirchen,Germany,6,0.0,0.0,0.75,pick-up,4.8,50.0,0.0,0.0
0,70,92353,Postbauer-Heng,Germany,7,2.3,193.3,1.0,delivery,3.8,39.5,17.4,38.3
0,72,92358,Oberpfalz,Germany,8,3.2,224.3,1.0,delivery,2.8,28.9,20.2,44.4
0,76,92358,Oberpfalz,Germany,9,3.2,224.3,0.75,delivery,2.0,21.1,20.2,44.4
0,74,92358,Oberpfalz,Germany,10,3.2,224.3,0.75,delivery,1.2,13.2,20.2,44.4
0,79,8020,Graz,Austria,11,8.1,689.1,1.0,pick-up,2.2,23.7,62.0,136.5
0,38,1010,Wien,Austria,12,10.6,884.8,1.0,delivery,1.2,13.2,79.6,175.2
0,36,92436,Oberpfalz,Germany,13,15.0,1294.1,0.25,delivery,1.0,10.5,116.5,256.2
0,80,08258,Markneukirchen,Germany,14,17.1,1465.0,1.0,delivery,0.0,0.0,131.8,290.1
0,53,08258,Markneukirchen,Germany,15,17.1,1465.0,1.0,pick-up,1.0,10.5,131.8,290.1
0,9,08258,Markneukirchen,Germany,16,17.1,1465.0,3.0,pick-up,4.0,42.1,131.8,290.1
0,7,08258,Markneukirchen,Germany,17,17.1,1465.0,3.0,pick-up,7.0,73.7,131.8,290.1
0,8,12205,Berlin,Germany,18,20.6,1808.2,3.0,delivery,4.0,42.1,162.7,358.0
0,54,12203,,Germany,19,21.0,1810.2,1.0,delivery,3.0,31.6,162.9,358.4
0,10,12207,Berlin,Germany,20,21.4,1813.8,3.0,delivery,0.0,0.0,163.2,359.1
0,0,08258,Vogtlandkreis,Germany,21,24.6,2162.4,0.0,depot,0.0,0.0,194.6,428.2
1,0,08258,Vogtlandkreis,Germany,0,0.0,0.0,0.0,depot,0.0,0.0,0.0,0.0
1,15,08258,Markneukirchen,Germany,1,0.0,0.0,1.25,pick-up,1.2,13.2,0.0,0.0
1,43,08258,Markneukirchen,Germany,2,0.0,0.0,0.75,pick-up,2.0,21.1,0.0,0.0
1,41,08258,Markneukirchen,Germany,3,0.0,0.0,1.0,pick-up,3.0,31.6,0.0,0.0
1,23,08258,Markneukirchen,Germany,4,0.0,0.0,0.5,pick-up,3.5,36.8,0.0,0.0
1,21,08258,Markneukirchen,Germany,5,0.0,0.0,1.0,pick-up,4.5,47.4,0.0,0.0
1,19,08258,Markneukirchen,Germany,6,0.0,0.0,1.0,pick-up,5.5,57.9,0.0,0.0
1,67,08258,Markneukirchen,Germany,7,0.0,0.0,1.0,pick-up,6.5,68.4,0.0,0.0
1,77,08258,Markneukirchen,Germany,8,0.0,0.0,0.5,pick-up,7.0,73.7,0.0,0.0
1,3,80939,Munchen,Germany,9,3.1,306.6,1.0,pick-up,8.0,84.2,27.6,60.7
1,17,80939,Munchen,Germany,10,3.1,306.6,0.25,pick-up,8.2,86.8,27.6,60.7
1,78,81543,,Germany,11,3.9,319.5,0.5,delivery,7.8,81.6,28.8,63.3
1,16,80995,,Germany,12,4.6,331.6,1.25,delivery,6.5,68.4,29.8,65.7
1,4,86156,Augsburg,Germany,13,5.7,397.4,1.0,delivery,5.5,57.9,35.8,78.7
1,18,60326,,Germany,14,9.0,765.2,0.25,delivery,5.2,55.3,68.9,151.5
1,44,45130,Essen,Germany,15,11.6,1007.6,0.75,delivery,4.5,47.4,90.7,199.5
1,42,45130,Essen,Germany,16,11.6,1007.6,1.0,delivery,3.5,36.8,90.7,199.5
1,20,50737,Koln,Germany,17,12.8,1076.5,1.0,delivery,2.5,26.3,96.9,213.1
1,31,50737,Koln,Germany,18,12.8,1076.5,1.0,pick-up,3.5,36.8,96.9,213.1
1,29,50737,Koln,Germany,19,12.8,1076.5,1.0,pick-up,4.5,47.4,96.9,213.1
1,27,50737,Koln,Germany,20,12.8,1076.5,1.0,pick-up,5.5,57.9,96.9,213.1
1,25,50737,Koln,Germany,21,12.8,1076.5,1.0,pick-up,6.5,68.4,96.9,213.1
1,24,50737,Koln,Germany,22,12.8,1076.5,0.5,delivery,6.0,63.2,96.9,213.1
1,22,50737,Koln,Germany,23,12.8,1076.5,1.0,delivery,5.0,52.6,96.9,213.1
1,49,51105,Koln,Germany,24,13.4,1089.0,0.5,pick-up,5.5,57.9,98.0,215.6
1,47,51105,Koln,Germany,25,13.4,1089.0,1.0,pick-up,6.5,68.4,98.0,215.6
1,65,53129,Bonn,Germany,26,14.2,1117.9,0.75,pick-up,7.2,76.3,100.6,221.3
1,68,53129,Bonn,Germany,27,14.2,1117.9,1.0,delivery,6.2,65.8,100.6,221.3
1,55,70188,,Germany,28,17.9,1483.8,0.75,pick-up,7.0,73.7,133.5,293.8
1,45,80939,Munchen,Germany,29,20.4,1708.8,1.0,pick-up,8.0,84.2,153.8,338.3
1,50,80939,Munchen,Germany,30,20.4,1708.8,0.5,delivery,7.5,78.9,153.8,338.3
1,48,80939,Munchen,Germany,31,20.4,1708.8,1.0,delivery,6.5,68.4,153.8,338.3
1,46,90409,Nurnberg,Germany,32,22.1,1867.9,1.0,delivery,5.5,57.9,168.1,369.8
1,56,08258,Markneukirchen,Germany,33,24.5,2052.7,0.75,delivery,4.8,50.0,184.7,406.4
1,32,08258,Markneukirchen,Germany,34,24.5,2052.7,1.0,delivery,3.8,39.5,184.7,406.4
1,30,08258,Markneukirchen,Germany,35,24.5,2052.7,1.0,delivery,2.8,28.9,184.7,406.4
1,28,08258,Markneukirchen,Germany,36,24.5,2052.7,1.0,delivery,1.8,18.4,184.7,406.4
